# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.065
 8.8571      0.026         11.082
 8.7857      0.032         14.059
 8.7143      0.038         16.989
 8.6429      0.045         19.864
 8.5714      0.051         22.673
 8.5000      0.057         25.401
 8.4286      0.063         28.026
 8.3571      0.069         30.516
 8.2857      0.075         32.820
 8.2143      0.082         34.848
 8.1429      0.088         36.413
 8.0714      0.094         36.991
 8.0000      0.100         31.704
