# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.203
 8.8571      0.026         11.576
 8.7857      0.032         14.906
 8.7143      0.038         18.185
 8.6429      0.045         21.405
 8.5714      0.051         24.554
 8.5000      0.057         27.614
 8.4286      0.063         30.563
 8.3571      0.069         33.366
 8.2857      0.075         35.967
 8.2143      0.082         38.267
 8.1429      0.088         40.061
 8.0714      0.094         40.770
 8.0000      0.100         34.454
