 lambda   Irr_dw            Rad_up 
 630.512  1.3839592525e+00  5.9584752310e-02 
 631.338  1.3768677490e+00  5.9380478303e-02 
 632.164  1.3733078166e+00  5.9319213020e-02 
 632.991  1.3737480380e+00  5.9445043965e-02 
 633.817  1.3744156791e+00  5.9583237735e-02 
 634.643  1.3726004771e+00  5.9594578383e-02 
 635.470  1.3703628331e+00  5.9567381485e-02 
 636.296  1.3716769520e+00  5.9686038812e-02 
 637.122  1.3766739126e+00  5.9961208998e-02 
 637.948  1.3801052154e+00  6.0160772710e-02 
 638.775  1.3771796462e+00  6.0075686250e-02 
 639.601  1.3692041100e+00  5.9765206958e-02 
 640.427  1.3615031824e+00  5.9453435710e-02 
 641.253  1.3576171102e+00  5.9277049486e-02 
 642.079  1.3573346132e+00  5.9212599018e-02 
 642.905  1.3584139155e+00  5.9153400119e-02 
 643.732  1.3583562079e+00  5.8972010734e-02 
 644.558  1.3558233797e+00  5.8576646451e-02 
 645.384  1.3518403459e+00  5.7996309081e-02 
 646.210  1.3493525727e+00  5.7414567902e-02 
 647.036  1.3496355692e+00  5.7013216464e-02 
 647.862  1.3493465703e+00  5.6780168337e-02 
 648.688  1.3442496337e+00  5.6583595979e-02 
 649.514  1.3365037288e+00  5.6429368520e-02 
 650.340  1.3337018556e+00  5.6474531517e-02 
 651.166  1.3383927534e+00  5.6734122270e-02 
 651.992  1.3442556875e+00  5.6984071024e-02 
 652.818  1.3427634096e+00  5.6924810385e-02 
 653.644  1.3272894278e+00  5.6256822774e-02 
 654.470  1.2951072682e+00  5.4839688627e-02 
 655.296  1.2548880173e+00  5.3086842251e-02 
 656.122  1.2283352452e+00  5.1983836080e-02 
 656.948  1.2323351274e+00  5.2261857584e-02 
 657.774  1.2606652916e+00  5.3623114652e-02 
 658.599  1.2923958164e+00  5.5136517788e-02 
 659.425  1.3141444736e+00  5.6214249904e-02 
 660.251  1.3258712338e+00  5.6852715844e-02 
 661.077  1.3318132163e+00  5.7222158551e-02 
 661.903  1.3335329639e+00  5.7368386810e-02 
 662.728  1.3310209504e+00  5.7285845963e-02 
 663.554  1.3261076748e+00  5.7073984857e-02 
 664.380  1.3220447662e+00  5.6898148381e-02 
 665.206  1.3200480008e+00  5.6821138466e-02 
 666.031  1.3187120690e+00  5.6779176758e-02 
 666.857  1.3172784081e+00  5.6734813115e-02 
 667.683  1.3167852664e+00  5.6729156516e-02 
 668.508  1.3170914765e+00  5.6747420417e-02 
 669.334  1.3158751579e+00  5.6680618204e-02 
1182.792  4.3038655780e-01  1.3954022116e-02 
1188.701  4.2575359754e-01  1.3811800513e-02 
1194.595  4.2932663716e-01  1.4102535215e-02 
1200.475  4.1809335067e-01  1.3596183171e-02 
1206.341  4.1779069285e-01  1.3862514656e-02 
1212.193  4.1310194056e-01  1.3661068564e-02 
1218.030  4.1277888279e-01  1.4009904692e-02 
1223.854  4.0828437203e-01  1.3975167892e-02 
1229.663  4.0469441080e-01  1.4134986111e-02 
1235.458  4.0047044036e-01  1.4161349435e-02 
1241.240  3.9529454022e-01  1.4082690598e-02 
1247.008  3.9171389576e-01  1.3931836394e-02 
1252.762  3.8576151313e-01  1.3478357983e-02 
1258.503  3.8002390638e-01  1.2835727011e-02 
1264.230  3.7089128935e-01  1.2031710839e-02 
1269.944  3.6775138986e-01  1.1923673966e-02 
1275.644  3.6941882592e-01  1.2294649716e-02 
1281.331  3.4537822346e-01  1.1705307048e-02 
1287.004  3.6215053142e-01  1.2324670130e-02 
1292.665  3.6022362219e-01  1.2016975816e-02 
1298.312  3.5723424482e-01  1.1557362565e-02 
1503.952  2.3807210592e-01  4.2443280463e-03 
1509.148  2.4960198556e-01  4.7489087070e-03 
1514.333  2.4735878931e-01  4.8895674343e-03 
1519.509  2.4675042836e-01  4.9701922109e-03 
1524.675  2.4463129480e-01  5.1431725468e-03 
1529.831  2.4051268248e-01  5.0738157784e-03 
1534.978  2.4051163232e-01  5.0377694874e-03 
1540.114  2.3657169321e-01  5.1279438490e-03 
1545.242  2.3933645042e-01  5.2792578844e-03 
1550.360  2.3505861507e-01  5.2973786943e-03 
1555.468  2.3041079955e-01  5.2064794537e-03 
1560.567  2.3196675198e-01  5.4137354903e-03 
1565.657  2.2730861936e-01  5.2919748073e-03 
1570.738  2.2345083271e-01  5.2293892024e-03 
1575.809  2.1305939179e-01  5.1065678489e-03 
1580.872  2.2027634702e-01  5.2536186298e-03 
1585.926  2.1817935941e-01  5.3396319879e-03 
1590.971  2.1021920277e-01  5.2487577049e-03 
1596.007  2.1541898629e-01  5.4278375558e-03 
1601.035  2.1161857645e-01  5.3444216102e-03 
1606.054  2.1042347268e-01  5.4794217493e-03 
1611.064  2.0504204405e-01  5.3063834246e-03 
1616.066  2.0524278537e-01  5.3142597667e-03 
1621.060  2.0521339829e-01  5.4646986656e-03 
1626.045  2.0880738304e-01  5.6346903438e-03 
1631.023  2.0699416454e-01  5.6064974711e-03 
1635.992  2.0149753319e-01  5.3208757251e-03 
1640.954  1.9347720606e-01  5.0132729983e-03 
1645.907  1.9668041617e-01  5.2909204643e-03 
1650.852  1.9631009358e-01  5.3073919840e-03 
1655.790  1.9636523601e-01  5.3430751034e-03 
1660.720  1.9576445301e-01  5.3245704121e-03 
1665.643  1.9156339135e-01  5.0822244262e-03 
1670.558  1.8984023968e-01  5.2060421964e-03 
1675.466  1.8619532338e-01  5.3019674423e-03 
1680.366  1.7719849968e-01  5.0819458362e-03 
1685.259  1.8288342886e-01  5.2287675899e-03 
1690.145  1.8245794016e-01  5.1369423697e-03 
1695.024  1.8275889401e-01  5.1747179687e-03 
1699.896  1.7977469023e-01  4.9715151265e-03 
