# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.954
 8.8571      0.026         11.819
 8.7857      0.032         14.644
 8.7143      0.038         17.421
 8.6429      0.045         20.143
 8.5714      0.051         22.797
 8.5000      0.057         25.370
 8.4286      0.063         27.839
 8.3571      0.069         30.172
 8.2857      0.075         32.320
 8.2143      0.082         34.193
 8.1429      0.088         35.609
 8.0714      0.094         36.073
 8.0000      0.100         31.739
