# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.133
 8.8571      0.026         12.884
 8.7857      0.032         16.589
 8.7143      0.038         20.239
 8.6429      0.045         23.824
 8.5714      0.051         27.332
 8.5000      0.057         30.743
 8.4286      0.063         34.033
 8.3571      0.069         37.163
 8.2857      0.075         40.072
 8.2143      0.082         42.652
 8.1429      0.088         44.674
 8.0714      0.094         45.496
 8.0000      0.100         38.163
