# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.604
 8.8571      0.026         10.390
 8.7857      0.032         13.138
 8.7143      0.038         15.843
 8.6429      0.045         18.497
 8.5714      0.051         21.089
 8.5000      0.057         23.604
 8.4286      0.063         26.023
 8.3571      0.069         28.317
 8.2857      0.075         30.437
 8.2143      0.082         32.300
 8.1429      0.088         33.732
 8.0714      0.094         34.249
 8.0000      0.100         29.505
