# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.264
 8.8571      0.026         11.907
 8.7857      0.032         15.504
 8.7143      0.038         19.049
 8.6429      0.045         22.530
 8.5714      0.051         25.937
 8.5000      0.057         29.250
 8.4286      0.063         32.447
 8.3571      0.069         35.488
 8.2857      0.075         38.317
 8.2143      0.082         40.827
 8.1429      0.088         42.802
 8.0714      0.094         43.619
 8.0000      0.100         36.468
