# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.779
 8.8571      0.026          9.591
 8.7857      0.032         11.376
 8.7143      0.038         13.127
 8.6429      0.045         14.840
 8.5714      0.051         16.506
 8.5000      0.057         18.115
 8.4286      0.063         19.653
 8.3571      0.069         21.099
 8.2857      0.075         22.417
 8.2143      0.082         23.551
 8.1429      0.088         24.384
 8.0714      0.094         24.613
 8.0000      0.100         22.502
