# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.812
 8.8571      0.026          9.777
 8.7857      0.032         11.712
 8.7143      0.038         13.612
 8.6429      0.045         15.472
 8.5714      0.051         17.282
 8.5000      0.057         19.032
 8.4286      0.063         20.706
 8.3571      0.069         22.283
 8.2857      0.075         23.724
 8.2143      0.082         24.968
 8.1429      0.088         25.889
 8.0714      0.094         26.150
 8.0000      0.100         23.662
