# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.804
 8.8571      0.026          9.225
 8.7857      0.032         10.622
 8.7143      0.038         11.991
 8.6429      0.045         13.327
 8.5714      0.051         14.624
 8.5000      0.057         15.874
 8.4286      0.063         17.065
 8.3571      0.069         18.178
 8.2857      0.075         19.188
 8.2143      0.082         20.049
 8.1429      0.088         20.671
 8.0714      0.094         20.836
 8.0000      0.100         19.559
