# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.794
 8.8571      0.026          9.767
 8.7857      0.032         11.710
 8.7143      0.038         13.616
 8.6429      0.045         15.480
 8.5714      0.051         17.293
 8.5000      0.057         19.043
 8.4286      0.063         20.716
 8.3571      0.069         22.288
 8.2857      0.075         23.723
 8.2143      0.082         24.957
 8.1429      0.088         25.867
 8.0714      0.094         26.130
 8.0000      0.100         23.924
