# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.837
 8.8571      0.026          9.487
 8.7857      0.032         11.110
 8.7143      0.038         12.702
 8.6429      0.045         14.258
 8.5714      0.051         15.770
 8.5000      0.057         17.230
 8.4286      0.063         18.623
 8.3571      0.069         19.930
 8.2857      0.075         21.120
 8.2143      0.082         22.138
 8.1429      0.088         22.881
 8.0714      0.094         23.078
 8.0000      0.100         21.320
