# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.028
 8.8571      0.026         10.926
 8.7857      0.032         13.785
 8.7143      0.038         16.598
 8.6429      0.045         19.358
 8.5714      0.051         22.054
 8.5000      0.057         24.670
 8.4286      0.063         27.186
 8.3571      0.069         29.571
 8.2857      0.075         31.776
 8.2143      0.082         33.712
 8.1429      0.088         35.200
 8.0714      0.094         35.735
 8.0000      0.100         30.802
