# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.119
 8.8571      0.026         11.037
 8.7857      0.032         13.915
 8.7143      0.038         16.746
 8.6429      0.045         19.521
 8.5714      0.051         22.229
 8.5000      0.057         24.855
 8.4286      0.063         27.377
 8.3571      0.069         29.764
 8.2857      0.075         31.965
 8.2143      0.082         33.892
 8.1429      0.088         35.362
 8.0714      0.094         35.872
 8.0000      0.100         31.269
