# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.549
 8.8571      0.026          8.725
 8.7857      0.032          9.879
 8.7143      0.038         11.009
 8.6429      0.045         12.110
 8.5714      0.051         13.177
 8.5000      0.057         14.203
 8.4286      0.063         15.178
 8.3571      0.069         16.086
 8.2857      0.075         16.907
 8.2143      0.082         17.604
 8.1429      0.088         18.109
 8.0714      0.094         18.263
 8.0000      0.100         17.490
