# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.509
 8.8571      0.026         11.367
 8.7857      0.032         14.186
 8.7143      0.038         16.959
 8.6429      0.045         19.679
 8.5714      0.051         22.333
 8.5000      0.057         24.909
 8.4286      0.063         27.384
 8.3571      0.069         29.727
 8.2857      0.075         31.890
 8.2143      0.082         33.784
 8.1429      0.088         35.231
 8.0714      0.094         35.729
 8.0000      0.100         31.038
