# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.393
 8.8571      0.026          9.762
 8.7857      0.032         11.107
 8.7143      0.038         12.422
 8.6429      0.045         13.704
 8.5714      0.051         14.946
 8.5000      0.057         16.140
 8.4286      0.063         17.275
 8.3571      0.069         18.333
 8.2857      0.075         19.289
 8.2143      0.082         20.102
 8.1429      0.088         20.693
 8.0714      0.094         20.885
 8.0000      0.100         20.036
