# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.526
 8.8571      0.026         11.981
 8.7857      0.032         15.391
 8.7143      0.038         18.749
 8.6429      0.045         22.047
 8.5714      0.051         25.271
 8.5000      0.057         28.404
 8.4286      0.063         31.423
 8.3571      0.069         34.292
 8.2857      0.075         36.953
 8.2143      0.082         39.306
 8.1429      0.088         41.140
 8.0714      0.094         41.859
 8.0000      0.100         35.419
