# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.391
 8.8571      0.026         12.155
 8.7857      0.032         15.872
 8.7143      0.038         19.535
 8.6429      0.045         23.135
 8.5714      0.051         26.658
 8.5000      0.057         30.086
 8.4286      0.063         33.394
 8.3571      0.069         36.545
 8.2857      0.075         39.479
 8.2143      0.082         42.086
 8.1429      0.088         44.145
 8.0714      0.094         45.016
 8.0000      0.100         37.435
