# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.041
 8.8571      0.026         10.756
 8.7857      0.032         13.435
 8.7143      0.038         16.070
 8.6429      0.045         18.654
 8.5714      0.051         21.176
 8.5000      0.057         23.622
 8.4286      0.063         25.973
 8.3571      0.069         28.198
 8.2857      0.075         30.251
 8.2143      0.082         32.048
 8.1429      0.088         33.420
 8.0714      0.094         33.891
 8.0000      0.100         29.478
