# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.179
 8.8571      0.026         12.722
 8.7857      0.032         16.219
 8.7143      0.038         19.663
 8.6429      0.045         23.045
 8.5714      0.051         26.351
 8.5000      0.057         29.565
 8.4286      0.063         32.661
 8.3571      0.069         35.603
 8.2857      0.075         38.333
 8.2143      0.082         40.745
 8.1429      0.088         42.622
 8.0714      0.094         43.351
 8.0000      0.100         36.717
