# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.726
 8.8571      0.026         11.922
 8.7857      0.032         15.074
 8.7143      0.038         18.178
 8.6429      0.045         21.224
 8.5714      0.051         24.200
 8.5000      0.057         27.089
 8.4286      0.063         29.871
 8.3571      0.069         32.509
 8.2857      0.075         34.951
 8.2143      0.082         37.101
 8.1429      0.088         38.760
 8.0714      0.094         39.372
 8.0000      0.100         33.727
