# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.235
 8.8571      0.026         11.637
 8.7857      0.032         14.995
 8.7143      0.038         18.303
 8.6429      0.045         21.552
 8.5714      0.051         24.728
 8.5000      0.057         27.816
 8.4286      0.063         30.792
 8.3571      0.069         33.621
 8.2857      0.075         36.247
 8.2143      0.082         38.570
 8.1429      0.088         40.385
 8.0714      0.094         41.106
 8.0000      0.100         34.684
