# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.261
 8.8571      0.026         12.658
 8.7857      0.032         15.022
 8.7143      0.038         17.346
 8.6429      0.045         19.624
 8.5714      0.051         21.846
 8.5000      0.057         23.999
 8.4286      0.063         26.065
 8.3571      0.069         28.017
 8.2857      0.075         29.810
 8.2143      0.082         31.368
 8.1429      0.088         32.534
 8.0714      0.094         32.872
 8.0000      0.100         29.133
