# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.871
 8.8571      0.026         10.226
 8.7857      0.032         12.546
 8.7143      0.038         14.828
 8.6429      0.045         17.063
 8.5714      0.051         19.243
 8.5000      0.057         21.355
 8.4286      0.063         23.380
 8.3571      0.069         25.294
 8.2857      0.075         27.054
 8.2143      0.082         28.586
 8.1429      0.088         29.740
 8.0714      0.094         30.105
 8.0000      0.100         26.598
