# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.856
 8.8571      0.026          9.627
 8.7857      0.032         11.371
 8.7143      0.038         13.082
 8.6429      0.045         14.755
 8.5714      0.051         16.382
 8.5000      0.057         17.953
 8.4286      0.063         19.454
 8.3571      0.069         20.863
 8.2857      0.075         22.148
 8.2143      0.082         23.252
 8.1429      0.088         24.060
 8.0714      0.094         24.279
 8.0000      0.100         22.279
