# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.041
 8.8571      0.026          9.472
 8.7857      0.032         10.880
 8.7143      0.038         12.261
 8.6429      0.045         13.609
 8.5714      0.051         14.918
 8.5000      0.057         16.179
 8.4286      0.063         17.382
 8.3571      0.069         18.507
 8.2857      0.075         19.529
 8.2143      0.082         20.399
 8.1429      0.088         21.027
 8.0714      0.094         21.185
 8.0000      0.100         19.802
