# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.568
 8.8571      0.026         12.263
 8.7857      0.032         15.912
 8.7143      0.038         19.507
 8.6429      0.045         23.039
 8.5714      0.051         26.494
 8.5000      0.057         29.855
 8.4286      0.063         33.098
 8.3571      0.069         36.183
 8.2857      0.075         39.052
 8.2143      0.082         41.598
 8.1429      0.088         43.599
 8.0714      0.094         44.424
 8.0000      0.100         37.161
