# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.828
 8.8571      0.026         10.157
 8.7857      0.032         12.454
 8.7143      0.038         14.713
 8.6429      0.045         16.927
 8.5714      0.051         19.088
 8.5000      0.057         21.183
 8.4286      0.063         23.195
 8.3571      0.069         25.097
 8.2857      0.075         26.849
 8.2143      0.082         28.379
 8.1429      0.088         29.536
 8.0714      0.094         29.911
 8.0000      0.100         26.225
