# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.338
 8.8571      0.026         12.068
 8.7857      0.032         15.753
 8.7143      0.038         19.387
 8.6429      0.045         22.958
 8.5714      0.051         26.455
 8.5000      0.057         29.861
 8.4286      0.063         33.150
 8.3571      0.069         36.286
 8.2857      0.075         39.210
 8.2143      0.082         41.817
 8.1429      0.088         43.886
 8.0714      0.094         44.787
 8.0000      0.100         36.963
