# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.293
 8.8571      0.026         11.862
 8.7857      0.032         15.387
 8.7143      0.038         18.861
 8.6429      0.045         22.276
 8.5714      0.051         25.618
 8.5000      0.057         28.872
 8.4286      0.063         32.013
 8.3571      0.069         35.006
 8.2857      0.075         37.794
 8.2143      0.082         40.274
 8.1429      0.088         42.235
 8.0714      0.094         43.069
 8.0000      0.100         35.742
