# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.032
 8.8571      0.026         10.875
 8.7857      0.032         13.680
 8.7143      0.038         16.439
 8.6429      0.045         19.146
 8.5714      0.051         21.789
 8.5000      0.057         24.354
 8.4286      0.063         26.820
 8.3571      0.069         29.156
 8.2857      0.075         31.315
 8.2143      0.082         33.209
 8.1429      0.088         34.661
 8.0714      0.094         35.177
 8.0000      0.100         30.404
