# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.806
 8.8571      0.026          9.155
 8.7857      0.032         10.480
 8.7143      0.038         11.777
 8.6429      0.045         13.043
 8.5714      0.051         14.271
 8.5000      0.057         15.452
 8.4286      0.063         16.576
 8.3571      0.069         17.626
 8.2857      0.075         18.577
 8.2143      0.082         19.385
 8.1429      0.088         19.970
 8.0714      0.094         20.135
 8.0000      0.100         19.084
