# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.834
 8.8571      0.026         11.145
 8.7857      0.032         12.431
 8.7143      0.038         13.689
 8.6429      0.045         14.914
 8.5714      0.051         16.100
 8.5000      0.057         17.239
 8.4286      0.063         18.319
 8.3571      0.069         19.325
 8.2857      0.075         20.232
 8.2143      0.082         21.000
 8.1429      0.088         21.555
 8.0714      0.094         21.736
 8.0000      0.100         21.004
