# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.626
 8.8571      0.026          9.144
 8.7857      0.032         10.637
 8.7143      0.038         12.101
 8.6429      0.045         13.530
 8.5714      0.051         14.919
 8.5000      0.057         16.259
 8.4286      0.063         17.536
 8.3571      0.069         18.733
 8.2857      0.075         19.821
 8.2143      0.082         20.750
 8.1429      0.088         21.425
 8.0714      0.094         21.603
 8.0000      0.100         20.101
