# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.295
 8.8571      0.026         11.584
 8.7857      0.032         14.830
 8.7143      0.038         18.027
 8.6429      0.045         21.166
 8.5714      0.051         24.234
 8.5000      0.057         27.215
 8.4286      0.063         30.087
 8.3571      0.069         32.816
 8.2857      0.075         35.346
 8.2143      0.082         37.580
 8.1429      0.088         39.318
 8.0714      0.094         39.992
 8.0000      0.100         33.922
