# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.499
 8.8571      0.026          9.982
 8.7857      0.032         12.430
 8.7143      0.038         14.838
 8.6429      0.045         17.199
 8.5714      0.051         19.502
 8.5000      0.057         21.735
 8.4286      0.063         23.879
 8.3571      0.069         25.908
 8.2857      0.075         27.777
 8.2143      0.082         29.411
 8.1429      0.088         30.653
 8.0714      0.094         31.070
 8.0000      0.100         27.169
