# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.821
 8.8571      0.026         11.297
 8.7857      0.032         14.729
 8.7143      0.038         18.111
 8.6429      0.045         21.432
 8.5714      0.051         24.682
 8.5000      0.057         27.842
 8.4286      0.063         30.890
 8.3571      0.069         33.790
 8.2857      0.075         36.485
 8.2143      0.082         38.877
 8.1429      0.088         40.755
 8.0714      0.094         41.530
 8.0000      0.100         34.773
