# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.942
 8.8571      0.026         10.478
 8.7857      0.032         12.979
 8.7143      0.038         15.438
 8.6429      0.045         17.848
 8.5714      0.051         20.199
 8.5000      0.057         22.477
 8.4286      0.063         24.664
 8.3571      0.069         26.731
 8.2857      0.075         28.634
 8.2143      0.082         30.294
 8.1429      0.088         31.551
 8.0714      0.094         31.963
 8.0000      0.100         28.091
