# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.276
 8.8571      0.026         11.868
 8.7857      0.032         15.415
 8.7143      0.038         18.909
 8.6429      0.045         22.342
 8.5714      0.051         25.699
 8.5000      0.057         28.965
 8.4286      0.063         32.114
 8.3571      0.069         35.110
 8.2857      0.075         37.895
 8.2143      0.082         40.364
 8.1429      0.088         42.303
 8.0714      0.094         43.097
 8.0000      0.100         36.120
