# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.917
 8.8571      0.026         10.231
 8.7857      0.032         12.510
 8.7143      0.038         14.748
 8.6429      0.045         16.940
 8.5714      0.051         19.074
 8.5000      0.057         21.138
 8.4286      0.063         23.115
 8.3571      0.069         24.978
 8.2857      0.075         26.686
 8.2143      0.082         28.165
 8.1429      0.088         29.268
 8.0714      0.094         29.605
 8.0000      0.100         26.589
