# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.028
 8.8571      0.026         10.885
 8.7857      0.032         13.704
 8.7143      0.038         16.477
 8.6429      0.045         19.198
 8.5714      0.051         21.854
 8.5000      0.057         24.433
 8.4286      0.063         26.912
 8.3571      0.069         29.261
 8.2857      0.075         31.432
 8.2143      0.082         33.338
 8.1429      0.088         34.800
 8.0714      0.094         35.322
 8.0000      0.100         30.497
