# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.005
 8.8571      0.026         10.812
 8.7857      0.032         13.581
 8.7143      0.038         16.306
 8.6429      0.045         18.978
 8.5714      0.051         21.586
 8.5000      0.057         24.117
 8.4286      0.063         26.550
 8.3571      0.069         28.854
 8.2857      0.075         30.981
 8.2143      0.082         32.846
 8.1429      0.088         34.273
 8.0714      0.094         34.774
 8.0000      0.100         30.142
