# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.827
 8.8571      0.026          9.221
 8.7857      0.032         10.592
 8.7143      0.038         11.935
 8.6429      0.045         13.245
 8.5714      0.051         14.518
 8.5000      0.057         15.743
 8.4286      0.063         16.910
 8.3571      0.069         18.001
 8.2857      0.075         18.990
 8.2143      0.082         19.833
 8.1429      0.088         20.441
 8.0714      0.094         20.603
 8.0000      0.100         19.377
