# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.032
 8.8571      0.026         10.738
 8.7857      0.032         13.404
 8.7143      0.038         16.026
 8.6429      0.045         18.595
 8.5714      0.051         21.100
 8.5000      0.057         23.528
 8.4286      0.063         25.858
 8.3571      0.069         28.060
 8.2857      0.075         30.086
 8.2143      0.082         31.853
 8.1429      0.088         33.192
 8.0714      0.094         33.637
 8.0000      0.100         29.607
