# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.005
 8.8571      0.026         10.739
 8.7857      0.032         13.436
 8.7143      0.038         16.092
 8.6429      0.045         18.697
 8.5714      0.051         21.243
 8.5000      0.057         23.715
 8.4286      0.063         26.093
 8.3571      0.069         28.349
 8.2857      0.075         30.436
 8.2143      0.082         32.271
 8.1429      0.088         33.683
 8.0714      0.094         34.192
 8.0000      0.100         29.373
