# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.975
 8.8571      0.026          8.477
 8.7857      0.032          9.954
 8.7143      0.038         11.403
 8.6429      0.045         12.817
 8.5714      0.051         14.192
 8.5000      0.057         15.518
 8.4286      0.063         16.782
 8.3571      0.069         17.968
 8.2857      0.075         19.046
 8.2143      0.082         19.969
 8.1429      0.088         20.642
 8.0714      0.094         20.828
 8.0000      0.100         19.353
