# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.863
 8.8571      0.026          9.700
 8.7857      0.032         11.509
 8.7143      0.038         13.285
 8.6429      0.045         15.022
 8.5714      0.051         16.712
 8.5000      0.057         18.344
 8.4286      0.063         19.905
 8.3571      0.069         21.372
 8.2857      0.075         22.711
 8.2143      0.082         23.864
 8.1429      0.088         24.711
 8.0714      0.094         24.943
 8.0000      0.100         22.753
