# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.053
 8.8571      0.026         11.171
 8.7857      0.032         14.248
 8.7143      0.038         17.277
 8.6429      0.045         20.249
 8.5714      0.051         23.154
 8.5000      0.057         25.975
 8.4286      0.063         28.690
 8.3571      0.069         31.267
 8.2857      0.075         33.653
 8.2143      0.082         35.755
 8.1429      0.088         37.381
 8.0714      0.094         37.993
 8.0000      0.100         32.461
