# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.561
 8.8571      0.026         10.631
 8.7857      0.032         13.646
 8.7143      0.038         16.598
 8.6429      0.045         19.478
 8.5714      0.051         22.274
 8.5000      0.057         24.970
 8.4286      0.063         27.547
 8.3571      0.069         29.974
 8.2857      0.075         32.208
 8.2143      0.082         34.179
 8.1429      0.088         35.763
 8.0714      0.094         36.689
 8.0000      0.100         36.036
