# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.734
 8.8571      0.026         12.595
 8.7857      0.032         16.403
 8.7143      0.038         20.152
 8.6429      0.045         23.828
 8.5714      0.051         27.420
 8.5000      0.057         30.906
 8.4286      0.063         34.260
 8.3571      0.069         37.441
 8.2857      0.075         40.384
 8.2143      0.082         42.976
 8.1429      0.088         44.981
 8.0714      0.094         45.747
 8.0000      0.100         39.216
