# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.883
 8.8571      0.026         10.170
 8.7857      0.032         12.423
 8.7143      0.038         14.638
 8.6429      0.045         16.808
 8.5714      0.051         18.923
 8.5000      0.057         20.971
 8.4286      0.063         22.934
 8.3571      0.069         24.787
 8.2857      0.075         26.489
 8.2143      0.082         27.968
 8.1429      0.088         29.077
 8.0714      0.094         29.419
 8.0000      0.100         26.141
