# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.336
 8.8571      0.026         13.278
 8.7857      0.032         17.178
 8.7143      0.038         21.028
 8.6429      0.045         24.818
 8.5714      0.051         28.536
 8.5000      0.057         32.165
 8.4286      0.063         35.680
 8.3571      0.069         39.046
 8.2857      0.075         42.202
 8.2143      0.082         45.042
 8.1429      0.088         47.342
 8.0714      0.094         48.447
 8.0000      0.100         39.002
