# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.010
 8.8571      0.026         10.518
 8.7857      0.032         12.003
 8.7143      0.038         13.460
 8.6429      0.045         14.884
 8.5714      0.051         16.268
 8.5000      0.057         17.604
 8.4286      0.063         18.879
 8.3571      0.069         20.075
 8.2857      0.075         21.162
 8.2143      0.082         22.090
 8.1429      0.088         22.759
 8.0714      0.094         22.910
 8.0000      0.100         21.196
