# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.098
 8.8571      0.026         11.153
 8.7857      0.032         14.170
 8.7143      0.038         17.141
 8.6429      0.045         20.058
 8.5714      0.051         22.911
 8.5000      0.057         25.684
 8.4286      0.063         28.356
 8.3571      0.069         30.895
 8.2857      0.075         33.251
 8.2143      0.082         35.333
 8.1429      0.088         36.955
 8.0714      0.094         37.584
 8.0000      0.100         31.816
