# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.220
 8.8571      0.026         14.851
 8.7857      0.032         18.436
 8.7143      0.038         21.970
 8.6429      0.045         25.440
 8.5714      0.051         28.836
 8.5000      0.057         32.139
 8.4286      0.063         35.323
 8.3571      0.069         38.352
 8.2857      0.075         41.165
 8.2143      0.082         43.655
 8.1429      0.088         45.596
 8.0714      0.094         46.344
 8.0000      0.100         39.161
