# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.855
 8.8571      0.026          9.712
 8.7857      0.032         11.541
 8.7143      0.038         13.337
 8.6429      0.045         15.093
 8.5714      0.051         16.802
 8.5000      0.057         18.454
 8.4286      0.063         20.034
 8.3571      0.069         21.519
 8.2857      0.075         22.875
 8.2143      0.082         24.044
 8.1429      0.088         24.903
 8.0714      0.094         25.140
 8.0000      0.100         22.880
