# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.987
 8.8571      0.026          9.598
 8.7857      0.032         11.183
 8.7143      0.038         12.736
 8.6429      0.045         14.254
 8.5714      0.051         15.729
 8.5000      0.057         17.152
 8.4286      0.063         18.509
 8.3571      0.069         19.780
 8.2857      0.075         20.937
 8.2143      0.082         21.925
 8.1429      0.088         22.644
 8.0714      0.094         22.833
 8.0000      0.100         21.208
