# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.422
 8.8571      0.026         12.279
 8.7857      0.032         16.089
 8.7143      0.038         19.847
 8.6429      0.045         23.540
 8.5714      0.051         27.157
 8.5000      0.057         30.679
 8.4286      0.063         34.082
 8.3571      0.069         37.326
 8.2857      0.075         40.352
 8.2143      0.082         43.050
 8.1429      0.088         45.195
 8.0714      0.094         46.135
 8.0000      0.100         38.017
