# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.856
 8.8571      0.026          9.677
 8.7857      0.032         11.470
 8.7143      0.038         13.231
 8.6429      0.045         14.955
 8.5714      0.051         16.633
 8.5000      0.057         18.255
 8.4286      0.063         19.807
 8.3571      0.069         21.267
 8.2857      0.075         22.602
 8.2143      0.082         23.753
 8.1429      0.088         24.601
 8.0714      0.094         24.832
 8.0000      0.100         22.502
