# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.734
 8.8571      0.026         12.603
 8.7857      0.032         16.421
 8.7143      0.038         20.179
 8.6429      0.045         23.865
 8.5714      0.051         27.467
 8.5000      0.057         30.964
 8.4286      0.063         34.329
 8.3571      0.069         37.522
 8.2857      0.075         40.478
 8.2143      0.082         43.083
 8.1429      0.088         45.102
 8.0714      0.094         45.880
 8.0000      0.100         39.216
