# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.334
 8.8571      0.026         10.051
 8.7857      0.032         12.730
 8.7143      0.038         15.367
 8.6429      0.045         17.952
 8.5714      0.051         20.477
 8.5000      0.057         22.926
 8.4286      0.063         25.281
 8.3571      0.069         27.512
 8.2857      0.075         29.572
 8.2143      0.082         31.380
 8.1429      0.088         32.767
 8.0714      0.094         33.263
 8.0000      0.100         28.772
