# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.043
 8.8571      0.026         10.935
 8.7857      0.032         13.788
 8.7143      0.038         16.595
 8.6429      0.045         19.348
 8.5714      0.051         22.037
 8.5000      0.057         24.646
 8.4286      0.063         27.154
 8.3571      0.069         29.532
 8.2857      0.075         31.728
 8.2143      0.082         33.655
 8.1429      0.088         35.134
 8.0714      0.094         35.662
 8.0000      0.100         30.809
