# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.859
 8.8571      0.026         12.158
 8.7857      0.032         15.414
 8.7143      0.038         18.620
 8.6429      0.045         21.766
 8.5714      0.051         24.841
 8.5000      0.057         27.828
 8.4286      0.063         30.703
 8.3571      0.069         33.433
 8.2857      0.075         35.960
 8.2143      0.082         38.188
 8.1429      0.088         39.912
 8.0714      0.094         40.558
 8.0000      0.100         34.624
